County_Name,State_Name,year,AQI,PRESS,TEMP,RH_DP,NO,CO,so2,Ozone,PM10,WIND,LEAD,Disasters_By_Count
LARIMER,COLORADO,1980,43.13,320.95214,55.149074,156.735362,12.81,2.03,4.19,0.03,23.85,97.560398,0.4,5
LARIMER,COLORADO,1993,49.7,107.61,42.09,73.91,12.81,0.83,4.19,0.03,21.39,107.61,0.13,10
LEE,FLORIDA,1983,29.15,320.95214,55.149074,156.735362,12.81,0.73,1.74,0.02,23.230241,97.560398,0.124122,4
LEELANAU,MICHIGAN,2004,41.67,106.78,43.72,85.76,12.81,0.73,4.19,0.03,23.230241,106.78,0.124122,2
LEHIGH,PENNSYLVANIA,1980,65.63,320.95214,56.08,50.37,22.38,0.89,11.54,0.03,23.230241,97.560398,0.124122,3
LICKING,OHIO,2016,44.62,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,5
LIVINGSTON,LOUISIANA,2011,46.02,320.95214,55.149074,156.735362,2.82,0.73,4.19,0.03,23.230241,97.560398,0.124122,25
MADISON,INDIANA,1996,45.47,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,17.59,97.560398,0.13,7
MASON,MICHIGAN,2014,42.21,100.75,44.13,81.88,12.81,0.73,4.19,0.04,23.230241,100.75,0.124122,3
MCCLAIN,OKLAHOMA,2008,40.98,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,16
MCKENZIE,'NORTH DAKOTA',1983,43.2,320.95214,44.21,44.21,12.81,0.73,2.42,0.03,23.230241,97.560398,0.124122,8
MCKENZIE,'NORTH DAKOTA',1997,26.76,320.95214,44.03,44.03,12.81,0.73,0.77,0.04,10.47,97.560398,0.13,2
MEDINA,OHIO,2007,45.18,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,16
MIAMI-DADE,FLORIDA,1982,64.11,320.95214,55.149074,156.735362,17.92,1.95,2.16,0.02,23.85,97.560398,0.34,11
MINNEHAHA,'SOUTH DAKOTA',2003,31.16,320.95214,55.149074,156.735362,6.86,0.73,1.12,0.04,19.81,97.560398,0.13,27
MOBILE,ALABAMA,2004,45.91,320.95214,55.149074,156.735362,12.81,0.73,0.99,0.03,24.61,97.560398,0.13,19
MONROE,MISSOURI,1997,36.58,101.23,55.149074,101.23,12.81,0.73,2.55,0.04,12.56,101.23,0.13,2
MONTEREY,CALIFORNIA,2018,41.21,320.95214,56.95,56.95,4.52,0.29,4.19,0.03,28.3,97.560398,0.13,12
MORGAN,ALABAMA,2006,52.19,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,34
MUSCOGEE,GEORGIA,1999,53.64,320.95214,55.149074,156.735362,12.81,0.73,2.01,0.03,23.91,97.560398,0.42,11
'NEW CASTLE',DELAWARE,2005,71.24,320.95214,55.149074,156.735362,17.59,0.47,5.44,0.03,21.97,97.560398,0.01,9
'NEW HAVEN',CONNECTICUT,1999,59.97,1016.51,53.42,275.26,20.47,0.58,3.86,0.03,26.68,97.560398,0.01,12
'NEW LONDON',CONNECTICUT,2006,44.69,320.95214,52.48,52.48,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,10
OLIVER,'NORTH DAKOTA',1981,36.61,320.95214,55.149074,156.735362,1.79,0.73,1.25,0.03,23.230241,97.560398,0.124122,1
PENOBSCOT,MAINE,2014,33.25,106.07,55.149074,106.07,12.81,0.73,4.19,0.03,13.87,106.07,0.13,7
PIKE,KENTUCKY,2015,42.6,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.02,23.230241,97.560398,0.124122,38
PLATTE,MISSOURI,2004,33.47,320.95214,55.149074,156.735362,9.09,0.73,2.07,0.03,23.230241,97.560398,0.124122,15
RACINE,WISCONSIN,1999,35,1016.64,53,534.82,12.81,0.74,4.19,0.04,23.230241,97.560398,0.124122,12
RIVERSIDE,CALIFORNIA,2003,109.14,108.67,67.57,97.24,18.28,0.59,2.12,0.04,45.93,115.03,0.01,46
ROCKDALE,GEORGIA,2010,36.61,991.53,59.35,375.45,3.14,0.73,4.19,0.03,23.230241,97.560398,0.124122,1
ROWAN,'NORTH CAROLINA',2006,59.65,320.95214,55.149074,156.735362,12.81,0.33,4.19,0.03,23.230241,97.560398,0.124122,25
'SAN JUAN','NEW MEXICO',2005,50.91,320.95214,55.149074,156.735362,10.39,0.73,1.27,0.03,15.21,97.560398,0.13,1
SANGAMON,ILLINOIS,2014,34.4,320.95214,55.149074,156.735362,12.81,0.73,0.55,0.03,23.230241,97.560398,0.124122,11
SARATOGA,'NEW YORK',2002,40.07,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,16
SCHENECTADY,'NEW YORK',2006,28.15,412.23,50.92,272.57,12.81,0.49,5.34,0.02,23.230241,114.08,0.124122,8
SHELBY,ALABAMA,2004,49.54,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,11
SMITH,TEXAS,1995,58.71,83.6,65.14,77.26,12.81,0.73,4.19,0.04,19.57,83.6,0.13,13
'ST. JOHN THE BAPTIST',LOUISIANA,2009,37.49,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,3
SUMMIT,OHIO,1996,60.14,320.95214,55.149074,156.735362,12.81,0.65,7.78,0.03,23.11,97.560398,0.03,30
SUMTER,ALABAMA,2000,49.04,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,9
SUMTER,ALABAMA,2007,42.55,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,5
TIOGA,PENNSYLVANIA,2006,44.08,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,11
TRAVIS,TEXAS,2016,43.97,84.88,69.68,79.82,8.86,0.7,0.18,0.03,19.22,84.88,0.13,39
WAKE,'NORTH CAROLINA',1986,75.39,320.95214,55.149074,156.735362,12.81,2.02,4.19,0.04,24.91,97.560398,0.07,15
WARRICK,INDIANA,1998,83.58,1001.34,64.8,650.09,12.81,0.73,11.26,0.04,23.230241,97.560398,0.124122,12
WASHINGTON,OHIO,1997,37.67,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,27.53,97.560398,0.13,8
WASHTENAW,MICHIGAN,2002,51.51,399.3,50.87,310.77,12.81,0.73,4.19,0.03,23.85,96.41,0.01,16
WAYNE,MICHIGAN,1980,92.19,320.95214,55.149074,156.735362,33.82,1.21,8.35,0.02,23.85,97.560398,0.23,10
'WEST BATON ROUGE',LOUISIANA,1990,59.2,320.95214,55.149074,156.735362,14.45,0.73,5.13,0.02,25.85,97.560398,0.05,2
WILLIAMSON,TENNESSEE,1999,75.23,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.05,23.85,97.560398,0.43,5
WOOD,'WEST VIRGINIA',1994,79.58,320.95214,55.149074,156.735362,12.81,0.73,16.02,0.03,26.43,97.560398,0.01,5
YALOBUSHA,MISSISSIPPI,2009,34.02,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,12
YORK,PENNSYLVANIA,1996,47.84,320.95214,55.149074,156.735362,19.24,0.65,5.15,0.03,26.28,97.560398,0.05,18
ADAMS,MISSISSIPPI,2009,39.01,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,11
ADAMS,PENNSYLVANIA,2013,46.53,320.95214,55.149074,156.735362,2.34,0.14,4.19,0.04,23.230241,97.560398,0.124122,14
ANDROSCOGGIN,MAINE,2017,38.94,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,14.18,97.560398,0.13,5
'ANNE ARUNDEL',MARYLAND,2005,48.63,320.95214,67.7,69.88,12.81,0.73,4.19,0.03,19.96,97.560398,0.13,8
ASHTABULA,OHIO,2000,40.24,320.95214,55.149074,156.735362,12.81,0.73,3.64,0.03,23.230241,97.560398,0.124122,21
ATLANTIC,'NEW JERSEY',1995,50.59,320.95214,55.149074,69.67,12.81,1.39,2.74,0.03,31.62,97.560398,0.02,3
BARNWELL,'SOUTH CAROLINA',2000,48.5,82.76,55.149074,82.76,2.11,0.73,0.62,0.03,21.65,82.76,0.13,10
BENNINGTON,VERMONT,2016,37.17,399.21,48.93,263.5,12.81,0.73,4.19,0.03,23.230241,105.85,0.124122,8
BERKELEY,'SOUTH CAROLINA',2016,34.93,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,34
BLAIR,PENNSYLVANIA,1991,60.13,320.95214,55.149074,156.735362,15.34,0.62,10.48,0.03,26.24,97.560398,0.13,8
BREWSTER,TEXAS,2001,35.3,105.15,68.62,76.28,12.81,0.73,4.19,0.03,23.230241,105.15,0.124122,2
BUCKS,PENNSYLVANIA,1996,51.99,320.95214,55.149074,156.735362,19.48,0.62,5.55,0.03,20.6,97.560398,0.13,25
BUNCOMBE,'NORTH CAROLINA',2001,51.86,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,19.1,97.560398,0.13,19
CALCASIEU,LOUISIANA,1984,38.58,320.95214,55.149074,156.735362,12.81,0.73,3.31,0.02,23.230241,97.560398,0.124122,7
CALCASIEU,LOUISIANA,2012,45.3,320.95214,55.149074,156.735362,5.33,0.73,4.06,0.03,23.230241,97.560398,0.124122,31
CALDWELL,'NORTH CAROLINA',2006,50.04,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,12
CAMDEN,'NEW JERSEY',2001,63.97,1028.5,57.12,386.47,21.52,0.48,4.81,0.03,26.69,97.560398,0.02,9
CAMPBELL,KENTUCKY,2011,54.68,320.95214,55.149074,156.735362,2.98,0.73,2.19,0.04,23.230241,97.560398,0.124122,9
CANADIAN,OKLAHOMA,2015,39.26,83.02,60.05,72.15,5.29,0.73,4.19,0.03,23.85,83.02,0,27
CAROLINE,VIRGINIA,1995,38.48,1010.9,55.81,315.01,4.68,0.73,4.19,0.03,23.230241,97.560398,0.124122,3
CASS,MICHIGAN,2013,50.03,106.6,49.32,74.14,12.81,0.73,4.19,0.04,23.230241,106.6,0.124122,7
CASS,MISSOURI,1984,39.07,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,3
CASS,'NORTH DAKOTA',2011,37.82,395.59,42.79,260.57,4.42,0.17,0.27,0.03,17.6,102.46,0.13,59
CATANO,'PUERTO RICO',2017,33.38,320.95214,55.149074,156.735362,12.81,0.73,0.1,0.01,22.9,97.560398,0.13,4
CENTRE,PENNSYLVANIA,2016,42.39,320.95214,55.149074,156.735362,4.62,0.73,0.95,0.03,23.230241,97.560398,0.124122,11
CHATHAM,GEORGIA,2011,53.73,320.95214,55.149074,156.735362,12.81,0.73,2.31,0.03,17.83,97.560398,0,87
CHAUTAUQUA,'NEW YORK',2008,46.01,414.85,49.67,277.12,12.81,0.73,2.65,0.03,23.230241,102.95,0.124122,19
CHESTER,'SOUTH CAROLINA',1983,60.55,129.12,55.149074,129.12,12.81,0.73,4.19,0.04,23.230241,129.12,0.124122,1
COLLIN,TEXAS,2018,41.73,89.03,65.76,80.45,12.81,0.73,4.19,0.03,23.85,89.03,0,49
COLUMBIA,OREGON,2000,31.95,113.94,51.74,93.2,12.81,0.73,4.19,0.02,23.230241,113.94,0.124122,1
COMANCHE,OKLAHOMA,1998,50.54,320.95214,55.149074,156.735362,9.98,0.62,4.19,0.03,32.2,97.560398,0.13,27
DAKOTA,MINNESOTA,1999,38.42,320.95214,51.72,66.51,10.34,0.3,1.52,0.03,23.85,97.560398,0.32,6
DALLAS,TEXAS,1981,70.83,87.87,66.77,79.98,20.41,1.04,1.95,0.03,23.85,87.87,0.27,12
DALLAS,TEXAS,2013,57.16,85.92,66.33,75.48,8.72,0.23,0.18,0.03,26.35,85.92,0,19
DAVIE,'NORTH CAROLINA',2002,71.34,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,8
DURHAM,'NORTH CAROLINA',2008,50.72,320.95214,55.149074,156.735362,12.81,0.54,4.19,0.03,23.230241,97.560398,0.124122,23
EDDY,'NEW MEXICO',2008,48.69,320.95214,73.62,58.19,3.51,0.73,0.03,0.04,23.230241,97.560398,0.124122,15
'EL PASO',COLORADO,2003,48.59,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,22.77,97.560398,0.01,31
'EL PASO',COLORADO,2012,56.77,320.95214,55.149074,156.735362,12.81,0.4,4.19,0.04,24.59,97.560398,0.13,66
ELMORE,ALABAMA,1999,50.24,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,13
FAIRFAX,VIRGINIA,1989,71.38,320.95214,55.149074,156.735362,26.25,0.88,9.84,0.02,40.88,97.560398,0.03,5
FAYETTE,KENTUCKY,2000,48.58,320.95214,55.149074,156.735362,12.67,0.14,5.04,0.03,21.84,97.560398,0.13,10
GILES,VIRGINIA,1995,59.18,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.05,23.230241,97.560398,0.124122,10
HARRISON,IOWA,2006,49.32,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,8
HAYWOOD,'NORTH CAROLINA',2004,49.98,320.95214,65.92,71.04,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,19
HENRICO,VIRGINIA,1986,48.35,320.95214,55.149074,156.735362,12.81,0.73,6.24,0.02,23.230241,97.560398,0.124122,3
HIDALGO,TEXAS,2008,48.68,79,74.22,77.41,12.81,0.73,4.19,0.02,21.33,79,0.13,8
HILLSBOROUGH,'NEW HAMPSHIRE',2002,48.32,320.95214,55.149074,156.735362,10.46,0.27,1.11,0.04,15.9,97.560398,0.13,12
HURON,MICHIGAN,1996,47.66,101.78,44.01,82.52,12.81,0.73,4.19,0.04,23.230241,101.78,0.124122,4
INGHAM,MICHIGAN,2001,45.18,425.49,50.67,321.3,11.75,0.73,4.19,0.03,23.230241,99.98,0.124122,10
JEFFERSON,LOUISIANA,2006,58.07,88.78,55.149074,88.78,9.66,0.73,3.93,0.03,23.85,88.78,0,10
JEFFERSON,OHIO,2003,69.93,320.95214,55.149074,156.735362,12.81,0.58,8.83,0.03,30.34,97.560398,0.13,18
JEFFERSON,TENNESSEE,2013,44.22,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,7
JOHNSON,IOWA,1986,30.38,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.02,23.230241,97.560398,0.124122,5
KALAMAZOO,MICHIGAN,2001,57.11,100.4,50.26,83.68,12.81,0.73,4.19,0.03,23.230241,100.4,0.124122,15
KENNEBEC,MAINE,1985,47.72,105.95,55.149074,105.95,12.81,0.73,5.13,0.04,30.05,105.95,0.14,2
KENT,DELAWARE,2018,40.25,111.35,55.149074,111.35,12.81,0.73,4.19,0.03,23.230241,111.35,0.124122,8
'LA PLATA',COLORADO,2000,42,320.95214,49.74,49.74,7.23,0.73,4.19,0.03,24.95,97.560398,0.13,6
LAKE,ILLINOIS,2003,37.26,255.41,60.87,188.02,12.81,0.73,4.19,0.02,23.230241,103.09,0.124122,25
LAWRENCE,OHIO,2006,44.41,320.95214,55.149074,156.735362,12.81,0.73,2.76,0.03,18.38,97.560398,0.13,3
LIVINGSTON,KENTUCKY,2016,31.88,93.83,59.37,82.34,12.81,0.73,4.19,0.03,13.49,93.83,0.13,6
LOGAN,OHIO,1990,57.9,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.85,97.560398,0.29,4
'LOS ANGELES',CALIFORNIA,1993,127.21,320.95214,55.149074,156.735362,35.66,1.51,1.92,0.02,40.5,97.560398,0.04,5
LUNA,'NEW MEXICO',2013,55,320.95214,55.149074,156.735362,3.96,0.73,4.19,0.04,30.07,97.560398,0.13,4
MACOUPIN,ILLINOIS,2005,43.85,93.09,55.149074,93.09,12.81,0.73,1.82,0.03,21.98,93.09,0.01,31
MCCLAIN,OKLAHOMA,2017,41.18,91.02,61.98,78.11,12.81,0.73,4.19,0.03,23.230241,91.02,0.124122,21
MIAMI,OHIO,2011,49.63,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,26
MILWAUKEE,WISCONSIN,2009,42.59,1013.86,47.64,217.24,12.22,0.73,4.19,0.03,18.57,97.560398,0.13,5
MISSAUKEE,MICHIGAN,2015,38.69,396.15,44.38,308.21,1.39,0.73,4.19,0.03,23.230241,106.91,0.124122,4
MONONGALIA,'WEST VIRGINIA',2004,53.08,320.95214,55.149074,156.735362,12.81,0.73,7.09,0.03,24.5,97.560398,0.13,5
MONROE,PENNSYLVANIA,2012,41.73,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.230241,97.560398,0.124122,22
MONTGOMERY,'NORTH CAROLINA',2007,49.38,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.04,23.230241,97.560398,0.124122,9
MORGAN,ALABAMA,1980,48.73,320.95214,55.149074,156.735362,22.39,0.73,17.22,0.02,23.230241,97.560398,0.124122,1
MUSCOGEE,GEORGIA,1993,43.77,320.95214,55.149074,156.735362,12.81,0.73,4.07,0.03,23.85,97.560398,0.3,3
'NEW YORK','NEW YORK',2010,52.4,105.97,55.149074,105.97,12.81,0.46,4.19,0.02,23.230241,105.97,0.124122,4
ONEIDA,'NEW YORK',1996,33.37,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.02,19.52,97.560398,0.13,10
ONONDAGA,'NEW YORK',2017,36.44,414.7,50.68,284.57,12.81,0.73,0.34,0.03,23.230241,92.95,0.124122,29
ORANGE,FLORIDA,1987,43.01,320.95214,55.149074,156.735362,12.81,1.08,1.61,0.03,23.85,97.560398,0.04,1
ORANGE,'NEW YORK',1997,50.56,320.95214,55.149074,156.735362,12.81,0.73,4.19,0.03,23.85,97.560398,0.07,14
OUACHITA,LOUISIANA,2003,47.3,320.95214,55.149074,156.735362,12.81,0.73,1.98,0.03,23.230241,97.560398,0.124122,27
OXFORD,MAINE,2001,23.83,128.68,38.37,98.97,12.81,0.73,2.08,0.03,10.99,128.68,0.13,3
